quarter,d,tau,g,c,mu,pd,cum_log_r
0,0.0,0.0,0.005,0.0,0.0215,4.096386380551327,0.0
1,-0.031582600434944735,0.005,0.004877864453538485,-0.03658260043494473,0.0267390330700484,4.014602014743522,-0.09547779902288589
2,-0.010853547874539897,0.009877864453538485,0.004604885443013824,-0.02073141232807838,0.020411155246966503,4.112412169427726,0.039297136485051176
3,0.012934735584627665,0.014482749896552308,0.004956300050926712,-0.0015480143119246427,0.027404176256326386,3.9857607540161397,-0.045158158650276725
4,-0.05442538282050582,0.01943904994747902,0.004592103778699574,-0.07386443276798484,0.02160621449285688,4.115767727435216,0.03367047368648324
5,-0.07070440812457118,0.024031153726178592,0.004613654426754068,-0.09473556185074977,0.026608414008371807,4.051025757960989,-0.030095732209953763
6,-0.06979173629736997,0.02864480815293266,0.004576471942576725,-0.09843654445030263,0.021790652434357953,4.137537371927734,0.07316461059576307
7,-0.10273267092375173,0.033221280095509384,0.004342063539946476,-0.1359539510192611,0.02724772307197647,4.047955703108789,-0.03205060590535114
8,-0.11070003312235752,0.03756334363545586,0.003926566920696529,-0.14826337675781337,0.03225349162764904,3.9446548003741784,-0.12414595396894379
9,-0.09362545681517428,0.04148991055615239,0.0035082389780310037,-0.13511536737132668,0.025648853843646322,4.03450997114019,0.0003234193229606497
10,-0.05241934763720421,0.04499814953418339,0.0032154314305412966,-0.0974174971713876,0.03017062726559696,3.90883742275134,-0.0642778325479263
11,-0.0343072008913009,0.04821358096472469,0.0034011877317519567,-0.08252078185602559,0.018322632164368025,4.123492201640442,0.18454735060102134
12,-0.07385331704539909,0.051614768696476646,0.0033536590517540344,-0.12546808574187573,0.025066119289916283,4.02273965852143,0.06199415240167916
13,-0.05436730055743796,0.05496842774823068,0.00320685662326358,-0.10933572830566864,0.026503919324757267,3.9858473756962156,0.06299414301711703
14,-0.022713071322367176,0.05817528437149426,0.003280545093826616,-0.08088835569386144,0.026310277838127043,3.9689116578581727,0.09643036503780289
15,-0.028516173937424234,0.061455829465320876,0.003498267776455644,-0.08997200340274511,0.03309029690845712,3.859136840970621,0.0017194007506784459
16,-0.020613565313317747,0.06495409724177652,0.003505679663807869,-0.08556766255509426,0.041333211834244855,3.7066691005916894,-0.11858326810703712
17,-0.011638727558991993,0.06845977690558439,0.0036213440875600008,-0.08009850446457638,0.03867363271505902,3.7569514205018564,-0.03623983022459276
