quarter,d,tau,g,c,mu,pd,cum_log_r
0,0.0,0.0,0.005,0.0,0.0215,4.096386380551327,0.0
1,0.007150535173851487,0.005,0.005103008550046766,0.0021505351738514873,0.02076377618562406,4.115008053285875,0.04196618374163652
2,-0.04648590623556649,0.010103008550046765,0.004854682058351304,-0.05658891478561326,0.016619217172698934,4.212794411525668,0.10081251665338886
3,-0.06855178722872617,0.014957690608398069,0.004824397328081247,-0.08350947783712423,0.01805621904300851,4.212210518075881,0.0928676791357601
4,-0.058861934038534736,0.019782087936479315,0.004530842890466075,-0.07864402197501405,0.023038124556937274,4.098780527590674,0.005584281470744301
5,-0.028008080922687216,0.02431293082694539,0.004487113149657622,-0.05232101174963261,0.020749790167268755,4.121553187598344,0.07529997011142253
6,0.05442663702427527,0.02880004397660301,0.00439642681367116,0.025626593047672258,0.018127909214028664,4.111737918091723,0.16416600899214018
7,0.11765932841658149,0.03319647079027417,0.004498823647379786,0.08446285762630731,0.02279173074158134,3.9824986935358404,0.11662690619940808
8,0.11128099145416272,0.03769529443765396,0.004350323329036774,0.07358569701650876,0.026102573001563826,3.9142135303165557,0.06172312793386103
9,0.10691413528367506,0.04204561776669073,0.004828096354524571,0.06486851751698433,0.02087989835680708,4.049372318044864,0.2097981563983673
10,0.11901938708166176,0.046873714121215306,0.0049098991805409005,0.07214567296044645,0.016995828997789765,4.121224521110704,0.3098500332881935
11,0.1214176183402798,0.05178361330175621,0.0047645539801585025,0.06963400503852359,0.017373851643659437,4.105908726235445,0.3132732693315683
12,0.08243574812534989,0.05654816728191471,0.004937287717442681,0.025887580843435176,0.015227495022879452,4.184353251393454,0.3678531353339958
13,0.03811457478954336,0.06148545499935739,0.0048438681023458335,-0.023370880209814027,0.015499575018413748,4.211930357033219,0.3658180947358902
14,0.08389404334908139,0.06632932310170322,0.004908345739229133,0.017564720247378166,0.012790332990668658,4.245999934352676,0.4598869640520613
15,0.10167846905178504,0.07123766884093236,0.0047204678006821385,0.03044080021085268,0.01448681451677345,4.184907751342158,0.43168810062427543
16,0.15349949308520944,0.0759581366416145,0.004959687431225674,0.07754135644359494,0.018562717245595554,4.097225180950777,0.4123086997986736
17,0.1401143948022021,0.08091782407284016,0.0046896222262350585,0.059196570729361936,0.026925336297059795,3.92722208730843,0.24842732360169428
18,0.11235719404948721,0.08560744629907523,0.004677170420201417,0.026749747750411994,0.0323715685485299,3.85410426928053,0.1685234429206779
19,0.12404306827993702,0.09028461671927665,0.004736103895981025,0.03375845156066037,0.030621187015559218,3.8876369374458064,0.23402853158199344
20,0.12252448438252878,0.09502072061525768,0.004834429140025191,0.027503763767271094,0.03228918646236428,3.864296913490797,0.22993058840011926
21,0.1217917633188364,0.09985514975528287,0.004688296383138238,0.02193661356355353,0.02951644903435657,3.912616870092215,0.29730881021800615
