quarter,d,tau,g,c,mu,pd,cum_log_r
0,0.0,0.0,0.005,0.0,0.0215,4.096386380551327,0.0
1,-0.006811880337256679,0.005,0.0053645896850453454,-0.01181188033725668,0.020347279478959018,4.147622960693206,0.06010308280542365
2,-0.013806215253598495,0.010364589685045346,0.005418910068126558,-0.02417080493864384,0.02283326817543596,4.1148343583568225,0.03651691178300265
3,0.012772443819052647,0.015783499753171903,0.005267421105923528,-0.0030110559341192562,0.029371112273380174,3.972271682162797,-0.060811599111072034
4,-0.0010398758204310417,0.02105092085909543,0.005239300077156444,-0.022090796679526473,0.028117264319291454,4.001088082490291,-0.02767715053338593
5,0.005359889159978714,0.026290220936251874,0.004909619314265003,-0.02093033177627316,0.029721704845237822,3.956185653555509,-0.04722463787529829
6,0.04040227554023197,0.031199840250516878,0.00484316309475185,0.009202435289715096,0.03552819325548058,3.822730220940584,-0.12400534469484681
7,0.05928781171721738,0.03604300334526873,0.004731114828977252,0.023244808371948648,0.0340715972179037,3.8301319761088224,-0.0762435394660943
8,0.05206795884748714,0.04077411817424598,0.004635468365609518,0.011293840673241165,0.03456769309681722,3.822038539452638,-0.06990968255575591
9,0.06057980377536215,0.045409586539855495,0.004506374047534897,0.015170217235506656,0.03236712199882577,3.855241943881285,-0.00724689185556171
10,0.06675377995041226,0.049915960587390396,0.004543821306865402,0.01683781936302187,0.03255299248839293,3.85102115306628,0.01574151149682912
11,0.07443489175046458,0.0544597818942558,0.004371511847457928,0.01997510985620879,0.03279714799058399,3.8350047319916727,0.028777438072323136
12,0.046496021200153434,0.058831293741713725,0.004374734995220193,-0.012335272541560287,0.03583768078802065,3.798027560878499,-0.013971186001924707
13,0.017247814068320384,0.06320602873693391,0.004146244112204484,-0.04595821466861353,0.025303974687194003,4.007262875117363,0.18403568218890598
14,0.020442110265665128,0.0673522728491384,0.004291366948790353,-0.046910162583473275,0.02706440885742186,3.986775935268576,0.18513236823378598
15,0.0007422168338277746,0.07164363979792876,0.004332808424430709,-0.07090142296410099,0.021406820262674035,4.107644047264443,0.30261328434687673
16,-0.0042512289957539195,0.07597644822235947,0.004609116229303042,-0.08022767721811339,0.01951911328155786,4.16992380257077,0.37523484310343136
17,0.029512037512073944,0.08058556445166251,0.004527243506285099,-0.05107352693958857,0.020050756441762164,4.136273897531657,0.3912041247905105
18,0.005836596788147089,0.08511280795794761,0.004890029122976225,-0.07927621116980052,0.021893545465323166,4.136404980400798,0.3835136252386313
19,-0.012363642864983551,0.09000283708092384,0.005222033424240436,-0.10236647994590739,0.016667118291314176,4.275724648611234,0.5184392787728012
20,-0.01854787807338984,0.09522487050516427,0.0052215986712416925,-0.11377274857855411,0.012776275804493573,4.355391409064852,0.6046775168182448
21,-0.05637798598022621,0.10044646917640597,0.005130315472816063,-0.15682445515663218,-0.004488889302762986,4.698396787431787,0.9189214131669319
22,-0.08835034188801467,0.10557678464922203,0.0048148819617751405,-0.1939271265372367,-0.002959703796532906,4.680976883577563,0.8787564048762491
23,-0.0826701596569134,0.11039166661099717,0.0050472219378361926,-0.19306182626791057,-0.0015164255054371573,4.671246800907793,0.8840235570445598
24,-0.039706197894891604,0.11543888854883336,0.004977613078158846,-0.15514508644372496,-0.00777399423896493,4.757540524686319,1.0218312887747576
25,-0.029625635214475435,0.1204165016269922,0.005445394567950731,-0.15004213684146764,-0.0015811927501455754,4.662392346626779,0.9461632015061401
26,-0.032057803088466064,0.12586189619494292,0.005470555563672092,-0.157919699283409,-0.010633508374703454,4.8387262500295325,1.127950893065087
27,-0.001931625860223496,0.13133245175861502,0.005673491951871518,-0.13326407761883852,-0.007152123588161685,4.772155419985516,1.099932758277479
28,0.00030331079879319933,0.13700594371048655,0.005232077293658456,-0.13670263291169335,-0.004750857054279314,4.697248302424711,1.0363395772641635
29,-0.011874246105185338,0.142238021004145,0.0045387870449775675,-0.15411226710933035,0.0073520697705377475,4.444693461843036,0.7832794969176451
30,-0.003951963847782847,0.14677680804912258,0.004788996837668857,-0.15072877189690542,0.01469305542347815,4.3232814029392275,0.6829589370186131
31,0.005592141889227659,0.15156580488679144,0.004409746386163658,-0.14597366299756379,0.01638213463371247,4.264890981771384,0.6480681872303569
32,-0.011649886064317633,0.1559755512729551,0.00440877801371196,-0.16762543733727273,0.012182318245525979,4.355988369246603,0.7346716954882861
33,-0.029039794615293685,0.16038432928666704,0.004321767563195086,-0.18942412390196073,0.010030168402199814,4.40841669476044,0.7818110389476463
34,0.0023484185526294887,0.16470609684986212,0.0044001324269098445,-0.16235767829723263,0.009376334977100678,4.4103518211814725,0.8272120515592114
35,0.08787058633908534,0.16910622927677196,0.004062310327734433,-0.08123564293768662,0.009253351229085185,4.336403867259687,0.8517849094911121
36,0.09980150553169981,0.1731685396045064,0.004386141886635287,-0.07336703407280659,0.007250995942874291,4.375395289757019,0.9152119083120365
37,0.08993652126182053,0.17755468149114167,0.004081670618161348,-0.08761816022932115,0.0035802849282607924,4.439014621492253,0.9807046580802332
38,0.0672948736012247,0.181636352109303,0.0043639602949714865,-0.11434147850807831,0.0012930084170866924,4.5149373239562705,1.0448705485849805
39,0.0760930683004789,0.1860003124042745,0.003808646361483821,-0.1099072441037956,0.005840564468718433,4.400492271353895,0.951420306259938
40,0.08021483617274161,0.18980895876575832,0.004077012191117157,-0.10959412259301671,0.004474635811689394,4.437859050818829,1.004660748854489
41,0.03731811784018674,0.1938859709568755,0.0038670931280192404,-0.15656785311668875,-0.0006604124241781474,4.551666086493147,1.0860654204929894
42,0.027067748792257235,0.19775306408489474,0.004163135799543046,-0.1706853152926375,-0.003911041158474221,4.645780950580657,1.1794861370729715
43,0.05416742031682201,0.2019161998844378,0.0042548735484367875,-0.14774877956761578,-0.0011638132608661445,4.584636480554233,1.1555970539982479
44,0.07061174492936795,0.20617107343287458,0.004515757282103762,-0.13555932850350663,0.008738004483800929,4.405289346219623,1.0048328447061934
45,0.07434273370464509,0.21068683071497835,0.00451539549317003,-0.13634409701033326,0.007207232052069829,4.433641603932142,1.0487173621834849
46,0.07881270720482053,0.21520222620814838,0.0046567004884690896,-0.13638951900332785,0.015052937359500945,4.297070960180626,0.9301332898736954
47,0.08343156616565547,0.21985892669661747,0.004409053597088217,-0.136427360530962,0.021981008772772634,4.153790807880858,0.8070547224964226
48,0.0909594336542559,0.22426798029370568,0.0047841314615596365,-0.13330854663944977,0.02762361227920739,4.069748254400948,0.747477473065679
