d,g,c,mu,pd,cum_log_r,ann_log_r
-0.0010398758204310417,0.005239300077156444,-0.022090796679526473,0.028117264319291454,4.001088082490291,-0.02767715053338593,-0.02767715053338593
0.051689593975037806,0.005306940481374771,0.031631565070102334,0.026756235141361186,3.994448380973885,0.018562102395588198,0.018562102395588198
0.09651717798317787,0.004867351678830604,0.0763272274241713,0.02702612849462344,3.931541476802888,0.0004440030767134395,0.0004440030767134395
-0.09699497942094071,0.0053431118652075005,-0.11757338512700702,0.01507243568587914,4.317016351887615,0.18710140435359524,0.18710140435359524
-0.03941591357161807,0.004398002911400043,-0.05855679375743062,0.023878892733850448,4.055930653030729,-0.013877784545319294,-0.013877784545319294
0.03629574932306803,0.005462397882402932,0.014947037852940484,0.027088170733072917,4.010487445273003,0.01408608837579095,0.01408608837579095
0.07873284012474796,0.005412186187957837,0.05791916313864373,0.030523521662949485,3.9210494729843393,-0.024497333498457508,-0.024497333498457508
-0.004167025182242285,0.0037419011984147887,-0.022313649210119288,0.024223499778756603,3.9827694850223843,-0.040799663516050355,-0.040799663516050355
0.02841930434045619,0.005026765555989478,0.008387177197326802,0.02646461196127669,3.9984758249206354,-0.0005367771709385849,-0.0005367771709385849
0.06526473356654469,0.004204742024777576,0.04664251502144665,0.009420842953877268,4.238067934124199,0.2727426692134891,0.2727426692134891
-0.014403236988795542,0.005204498523997975,-0.03454320653612905,0.046985438390619985,3.658504159701595,-0.3611926350654211,-0.3611926350654211
0.11671808046686025,0.005089686776188832,0.09598503895896049,0.034934335746316825,3.7832291388600163,-0.12081514516535563,-0.12081514516535563
0.03670187932125851,0.005209752806644145,0.01622325809725932,0.028209502788116785,3.9755201157841253,-0.012694616171369244,-0.012694616171369244
0.0211618896244932,0.004832960469487916,0.0017643696593115758,0.0255850178904162,4.009709996436842,0.01020285274974242,0.01020285274974242
0.15368544434401277,0.005254376043023945,0.13322111719991503,-0.00323631484413899,4.474771977897424,0.5842201512363818,0.5842201512363818
0.0648343233934921,0.0052485301567510665,0.0450526329490255,0.025092498248424598,4.007232567950102,0.053233355732981824,0.053233355732981824
-0.030953614880360688,0.005800136200553027,-0.05149286279739806,0.01260545435871282,4.354082103504124,0.2799457756103205,0.2799457756103205
0.07706375358121162,0.005118933036696073,0.056985885566171346,0.030771066610921244,3.8894756070338947,-0.045983812926538636,-0.045983812926538636
0.07782505001344851,0.0050706156661941715,0.05787891575720046,0.01607462728443089,4.157801491852368,0.20236433300688805,0.20236433300688805
0.00454528966756201,0.004711715213764025,-0.014785079560223083,0.03567526335817302,3.829560684668266,-0.1887300595333956,-0.1887300595333956
0.09061026053725502,0.005151480485817435,0.07002769222879321,0.026883953917895755,3.9545242239975478,0.0182540982889825,0.0182540982889825
-0.025685624415944464,0.005850562902060607,-0.047560738629082756,0.025356620518862127,4.114119889157009,0.05683777349335539,0.05683777349335539
0.11240559134059046,0.004586677664171159,0.09292170990587512,0.02135735650847315,4.011297079683266,0.09631663424335635,0.09631663424335635
